# wavelength throughput charge
5.313767579837348194e+02 -5.001323455232337296e-03 2.584850000000000015e-07
5.353715370530125028e+02 -8.945669553161247553e-03 1.497619999999999880e-07
5.393660987258301702e+02 -5.108442541916656011e-03 2.494689999999999954e-07
5.433604468866906245e+02 -6.215919200610985594e-03 2.346790000000000065e-07
5.473545854200962140e+02 -6.807880369395816547e-03 2.153460000000000014e-07
5.513485182105499689e+02 -7.099666396914510944e-03 1.716639999999999945e-07
5.553422491425545786e+02 9.557203279659294212e-03 1.825540000000000080e-07
5.593357821006122776e+02 8.447158725055561868e-02 1.982890000000000096e-07
5.633291209692263237e+02 2.250939585710119983e-01 1.739820000000000024e-07
5.673222696328989514e+02 3.870964332962020804e-01 1.992890000000000053e-07
5.713152319761333047e+02 5.216713927323052280e-01 2.099259999999999966e-07
5.753080118834315044e+02 6.176811612234249793e-01 1.966720000000000024e-07
5.793006132392965810e+02 6.806926022131598586e-01 1.090809999999999959e-07
5.793006132392965810e+02 6.726345986639945540e-01 1.159530000000000060e-07
5.793006132392965810e+02 6.842031034307103354e-01 1.336190000000000003e-07
5.793006132392965810e+02 6.889282289942589843e-01 1.464549999999999969e-07
5.832930399282312237e+02 7.236933835370502610e-01 1.754399999999999881e-07
5.872852958347380081e+02 7.478675024815806260e-01 2.425909999999999784e-07
5.912773848433196235e+02 7.665520802530101374e-01 2.138750000000000010e-07
5.952693108384787593e+02 7.742340772831719509e-01 1.694840000000000107e-07
5.992610777047182182e+02 7.763097394735458678e-01 1.616390000000000090e-07
6.032526893265403487e+02 7.773388885920728963e-01 1.762189999999999979e-07
6.032526893265403487e+02 7.779157736449922034e-01 2.076539999999999879e-07
6.032526893265403487e+02 7.723711247759625920e-01 2.048369999999999965e-07
6.032526893265403487e+02 7.727694606357750073e-01 2.133599999999999994e-07
6.072441495884481810e+02 7.710894755699377878e-01 1.901529999999999955e-07
6.112354623749442908e+02 7.651158134644276965e-01 1.745829999999999957e-07
6.152266315705314810e+02 7.564416928021804321e-01 1.439509999999999898e-07
6.192176610597122135e+02 7.550173127145641816e-01 1.717299999999999899e-07
6.232085547269891777e+02 7.440531222594138905e-01 1.427510000000000055e-07
6.271993164568650627e+02 7.348066757392122117e-01 1.938869999999999944e-07
6.311899501338427854e+02 7.248896336737746804e-01 2.048480000000000089e-07
6.351804596424248075e+02 7.093596673384447993e-01 1.391009999999999960e-07
6.391708488671138184e+02 6.978276474152862452e-01 1.635230000000000012e-07
6.431611216924127348e+02 6.860124033765482299e-01 2.027829999999999967e-07
6.471512820028237911e+02 6.709094210647384982e-01 1.591810000000000011e-07
6.511413336828499041e+02 6.591820519863904604e-01 1.409709999999999989e-07
