# WAVE RELTPT CHARGE
6.500000000000000000e+02 5.380578737878433278e-03 8.112469999999999850e-07
6.530000000000000000e+02 3.290019277336446273e-03 4.227019999999999955e-07
6.560000000000000000e+02 9.328047295154401689e-03 5.028370000000000444e-07
6.590000000000000000e+02 7.943662964882206023e-03 6.297890000000000022e-07
6.620000000000000000e+02 7.191588255558307649e-03 6.516979999999999902e-07
6.650000000000000000e+02 9.369471498411378885e-03 6.026110000000000483e-07
6.680000000000000000e+02 9.539293132775135409e-03 5.450050000000000022e-07
6.710000000000000000e+02 9.352309857133761159e-03 6.144900000000000450e-07
6.740000000000000000e+02 4.389776903167480655e-03 1.048870000000000048e-06
6.770000000000000000e+02 3.500668807217789669e-02 1.603260000000000024e-07
6.800000000000000000e+02 4.290530756238442392e-03 1.295020000000000012e-06
6.830000000000000000e+02 6.787004105610301014e-03 8.555970000000000347e-07
6.860000000000000000e+02 7.580822106685738450e-03 7.523250000000000349e-07
6.890000000000000000e+02 5.107044437149746777e-03 1.232389999999999986e-06
6.920000000000000000e+02 5.129958882137375734e-03 1.030049999999999989e-06
6.950000000000000000e+02 4.509401797155836687e-03 1.294030000000000001e-06
6.980000000000000000e+02 1.055157647037587021e-01 5.731600000000000184e-08
7.010000000000000000e+02 3.587858644664121410e-02 1.697190000000000125e-07
7.040000000000000000e+02 3.586097343303473652e-03 1.755819999999999903e-06
7.070000000000000000e+02 2.967518165425812524e-03 2.244979999999999976e-06
7.100000000000000000e+02 1.235405078662191874e-02 5.198660000000000045e-07
7.130000000000000000e+02 8.118842914672966954e-03 8.929560000000000188e-07
7.160000000000000000e+02 1.420136344363585879e-02 6.581080000000000059e-07
7.190000000000000000e+02 1.573572402116945601e-01 3.622359999999999886e-08
7.220000000000000000e+02 5.995410505085118080e-01 1.231839999999999998e-08
7.250000000000000000e+02 2.299102389162727689e-01 9.140539999999999870e-08
7.280000000000000000e+02 3.804364389811031311e-01 2.154779999999999923e-07
7.310000000000000000e+02 6.233436431411099043e-01 1.244619999999999931e-07
7.340000000000000000e+02 7.302221448620622724e-01 2.713450000000000253e-07
7.370000000000000000e+02 7.420151383160304981e-01 8.655620000000000317e-07
7.400000000000000000e+02 7.255695949483326190e-01 1.050529999999999918e-06
7.430000000000000000e+02 7.233669876164099399e-01 2.923070000000000247e-07
7.460000000000000000e+02 7.372089771328174113e-01 1.317560000000000053e-07
7.490000000000000000e+02 7.116231129657348831e-01 6.064660000000000521e-07
7.520000000000000000e+02 7.304632552676451063e-01 6.561570000000000435e-07
7.550000000000000000e+02 7.649106966917003092e-01 5.858809999999999772e-07
7.580000000000000000e+02 8.025205976586835543e-01 7.102710000000000475e-07
7.610000000000000000e+02 8.366636460756520233e-01 8.332150000000000134e-07
7.640000000000000000e+02 8.839336864089317736e-01 7.148390000000000392e-07
7.670000000000000000e+02 9.243737610058750942e-01 7.436290000000000210e-07
7.700000000000000000e+02 9.605045256186133251e-01 6.410970000000000132e-07
7.730000000000000000e+02 9.848087196113642916e-01 4.015339999999999743e-07
7.750000000000000000e+02 4.995020723674866159e-01 3.513738999999999936e-06
7.760000000000000000e+02 9.999476341913571265e-01 2.790640000000000165e-07
7.790000000000000000e+02 9.815860701477339134e-01 8.218099999999999718e-07
7.820000000000000000e+02 9.671331162681220395e-01 5.472300000000000105e-07
7.850000000000000000e+02 9.438132994314033519e-01 7.278159999999999575e-07
7.880000000000000000e+02 9.211601744062116737e-01 6.724599999999999745e-07
7.910000000000000000e+02 8.957047175451908760e-01 5.456859999999999538e-07
