# WAVE RELTPT CHARGE
5.300000000000000000e+02 1.723209190357144470e+11 2.584850000000000015e-07
5.340000000000000000e+02 2.563265495631198425e+11 1.497619999999999880e-07
5.380000000000000000e+02 1.498221313480297852e+11 2.494689999999999954e-07
5.420000000000000000e+02 1.888680856642781067e+11 2.346790000000000065e-07
5.460000000000000000e+02 1.809779066817419434e+11 2.153460000000000014e-07
5.500000000000000000e+02 2.750736376878515625e+11 1.716639999999999945e-07
5.540000000000000000e+02 5.611017983449687500e+11 1.825540000000000080e-07
5.580000000000000000e+02 1.980266242431649414e+12 1.982890000000000096e-07
5.620000000000000000e+02 4.796194211679958984e+12 1.739820000000000024e-07
5.660000000000000000e+02 8.056131992223504883e+12 1.992890000000000053e-07
5.700000000000000000e+02 1.075855744273826953e+13 2.099259999999999966e-07
5.740000000000000000e+02 1.276714500107850000e+13 1.966720000000000024e-07
5.780000000000000000e+02 1.430054919075675195e+13 1.247859999999999899e-07
5.820000000000000000e+02 1.505511033699962695e+13 1.754399999999999881e-07
5.860000000000000000e+02 1.560303913595839062e+13 2.425909999999999784e-07
5.900000000000000000e+02 1.596701770848051758e+13 2.138750000000000010e-07
5.940000000000000000e+02 1.627186519918706250e+13 1.694840000000000107e-07
5.980000000000000000e+02 1.637306631399799219e+13 1.616390000000000090e-07
6.020000000000000000e+02 1.652186372484316602e+13 2.062454999999999922e-07
6.060000000000000000e+02 1.656650372410845312e+13 1.901529999999999955e-07
6.100000000000000000e+02 1.654228519807858984e+13 1.745829999999999957e-07
6.140000000000000000e+02 1.653387265858395312e+13 1.439509999999999898e-07
6.180000000000000000e+02 1.635957849975987695e+13 1.717299999999999899e-07
6.220000000000000000e+02 1.614053329872831641e+13 1.427510000000000055e-07
6.260000000000000000e+02 1.602209434802507031e+13 1.938869999999999944e-07
6.300000000000000000e+02 1.578719357421137891e+13 2.048480000000000089e-07
6.340000000000000000e+02 1.590160314467046484e+13 1.391009999999999960e-07
6.380000000000000000e+02 1.536741280975521094e+13 1.635230000000000012e-07
6.420000000000000000e+02 1.513063174588228906e+13 2.027829999999999967e-07
6.460000000000000000e+02 1.491914816793280664e+13 1.591810000000000011e-07
6.500000000000000000e+02 1.457327963592633203e+13 1.515879999999999939e-07
6.540000000000000000e+02 1.444718457352075781e+13 1.442710000000000085e-07
6.580000000000000000e+02 1.400006880221842578e+13 1.418920000000000109e-07
6.620000000000000000e+02 1.363600375280569141e+13 1.463440000000000034e-07
6.660000000000000000e+02 1.327553022151168750e+13 1.545150000000000042e-07
6.700000000000000000e+02 1.300753060615952930e+13 1.368490000000000100e-07
6.740000000000000000e+02 1.280333680665516406e+13 1.005719999999999956e-07
6.780000000000000000e+02 1.276452469023833203e+13 5.252130000000000060e-08
6.820000000000000000e+02 1.154258772877748047e+13 1.341200000000000125e-07
6.860000000000000000e+02 1.127108606638483203e+13 9.837030000000000306e-08
6.900000000000000000e+02 1.081878754782037891e+13 7.011790000000000082e-08
6.940000000000000000e+02 1.067222235677313672e+13 5.464570000000000207e-08
6.980000000000000000e+02 5.877600739084805469e+13 1.090669999999999916e-09
7.020000000000000000e+02 1.041028583432191016e+13 3.711449999999999793e-08
7.060000000000000000e+02 9.919342428543851562e+12 2.523530000000000032e-08
7.100000000000000000e+02 1.240698424976001562e+13 1.023060000000000063e-08
7.140000000000000000e+02 9.610089045468800781e+12 2.225705000000000143e-08
7.180000000000000000e+02 6.023935588310607812e+13 9.841770000000000850e-10
7.220000000000000000e+02 1.765771192434669922e+13 1.861539999999999964e-09
7.260000000000000000e+02 1.744310950036440234e+13 3.837219999999999701e-09
7.300000000000000000e+02 1.419967197993267578e+13 5.248029999999999712e-09
7.340000000000000000e+02 8.661711493241380859e+12 1.448510000000000078e-08
7.380000000000000000e+02 5.301102002240420898e+12 7.926149999999999807e-08
7.420000000000000000e+02 5.733007565876855469e+12 3.320999999999999761e-08
7.460000000000000000e+02 8.169379524951359375e+12 9.645019999999999435e-09
7.500000000000000000e+02 4.101929907175078125e+12 7.221269999999999652e-08
7.540000000000000000e+02 3.741580099801405762e+12 9.710980000000000312e-08
7.580000000000000000e+02 3.305325955756519043e+12 1.096230000000000016e-07
7.620000000000000000e+02 3.054773834119344727e+12 9.757109999999999945e-08
7.660000000000000000e+02 2.680055158183971680e+12 1.253749999999999960e-07
7.700000000000000000e+02 2.579813372218498047e+12 1.013730000000000039e-07
7.740000000000000000e+02 3.115726014837244141e+12 3.673690000000000122e-08
7.780000000000000000e+02 2.225795206678943359e+12 6.535520000000000278e-08
7.820000000000000000e+02 1.888084703536739746e+12 1.194260000000000002e-07
7.860000000000000000e+02 1.644582322096259766e+12 1.491109999999999910e-07
7.900000000000000000e+02 1.443743925555676758e+12 1.703650000000000038e-07
7.940000000000000000e+02 1.435557801858458008e+12 1.083760000000000038e-07
7.980000000000000000e+02 1.357127171229015869e+12 1.013179999999999944e-07
8.020000000000000000e+02 3.059728034270079102e+12 1.626569999999999854e-08
8.060000000000000000e+02 2.852487157211292969e+12 1.929310000000000155e-08
8.100000000000000000e+02 9.332098991722015381e+11 1.222570000000000074e-07
8.140000000000000000e+02 9.155835581871042480e+11 9.715780000000000461e-08
8.180000000000000000e+02 9.189535530992558594e+11 9.893980000000000031e-08
8.220000000000000000e+02 7.044411036568408203e+11 1.362640000000000084e-07
8.260000000000000000e+02 6.793907218294667969e+11 1.261429999999999934e-07
8.300000000000000000e+02 6.601778791126337891e+11 1.256489999999999891e-07
8.340000000000000000e+02 7.056055498030705566e+11 1.119930000000000023e-07
8.380000000000000000e+02 6.439978363830041504e+11 7.843219999999999474e-08
8.420000000000000000e+02 5.631389965246776123e+11 9.318699999999999925e-08
8.460000000000000000e+02 5.843779206075792236e+11 9.804230000000000171e-08
8.500000000000000000e+02 5.850298558733574219e+11 9.492750000000000084e-08
8.540000000000000000e+02 4.586664655412371826e+11 1.066749999999999940e-07
8.580000000000000000e+02 3.946380379258409424e+11 1.396839999999999953e-07
8.620000000000000000e+02 4.709893863542682495e+11 1.116169999999999995e-07
8.660000000000000000e+02 4.213740864141201172e+11 1.413869999999999941e-07
8.700000000000000000e+02 3.902835542313719482e+11 1.165489999999999936e-07
8.740000000000000000e+02 6.127803222547175293e+11 6.697850000000000647e-08
8.780000000000000000e+02 4.263881235317434082e+11 1.050950000000000024e-07
8.820000000000000000e+02 3.791327506455072021e+11 1.246009999999999919e-07
8.860000000000000000e+02 3.822817618921926270e+11 1.328609999999999878e-07
8.900000000000000000e+02 4.604755646963272705e+11 9.714090000000000397e-08
8.940000000000000000e+02 3.205169608079918213e+11 1.437060000000000032e-07
8.980000000000000000e+02 3.550692499839372559e+11 1.140920000000000002e-07
