# WAVE RELTPT CHARGE
5.140000000000000000e+02 8.681200374005417775e-01 2.346970000000000164e-06
5.170000000000000000e+02 7.874680310330592903e-01 3.525499999999999957e-06
5.200000000000000000e+02 8.763500868365903251e-01 2.221280000000000102e-06
5.230000000000000000e+02 8.392368796483113957e-01 2.864209999999999890e-06
5.260000000000000000e+02 8.472081532256588998e-01 2.747230000000000123e-06
5.290000000000000000e+02 8.842511034355615696e-01 2.257630000000000186e-06
5.320000000000000000e+02 8.892475339783170174e-01 2.237549999999999863e-06
5.350000000000000000e+02 8.078852732146302174e-01 3.345039999999999995e-06
5.380000000000000000e+02 8.254706121196261348e-01 3.160309999999999901e-06
5.410000000000000000e+02 8.556646444086045689e-01 2.766089999999999803e-06
5.440000000000000000e+02 7.396120811554593999e-01 4.713650000000000178e-06
5.470000000000000000e+02 8.982241676831046462e-01 1.880280000000000105e-06
5.500000000000000000e+02 7.722212425318157880e-01 4.264680000000000307e-06
5.530000000000000000e+02 8.690632011476779883e-01 2.769409999999999968e-06
5.560000000000000000e+02 7.647754215054460847e-01 4.461089999999999668e-06
5.590000000000000000e+02 7.987544182511845392e-01 3.779249999999999857e-06
5.620000000000000000e+02 9.163301220478046183e-01 2.198480000000000083e-06
5.650000000000000000e+02 9.025277109888829585e-01 2.478649999999999977e-06
5.680000000000000000e+02 7.716526433206982727e-01 4.305740000000000385e-06
5.710000000000000000e+02 8.664312393982919192e-01 3.038179999999999853e-06
5.740000000000000000e+02 8.262199540047578949e-01 3.481619999999999964e-06
5.770000000000000000e+02 8.175673235744300715e-01 3.625480000000000142e-06
5.800000000000000000e+02 9.253711640322308529e-01 2.281749999999999795e-06
5.830000000000000000e+02 8.424216464510396740e-01 3.272759999999999985e-06
5.860000000000000000e+02 8.391264830175177991e-01 3.379099999999999970e-06
5.890000000000000000e+02 8.875558524020403794e-01 2.946189999999999993e-06
5.920000000000000000e+02 8.575918565177123032e-01 3.195229999999999899e-06
5.950000000000000000e+02 9.282683819102457434e-01 2.420879999999999851e-06
5.980000000000000000e+02 8.853526629774700618e-01 2.911170000000000200e-06
6.010000000000000000e+02 8.615930833280560641e-01 3.241859999999999993e-06
6.040000000000000000e+02 8.920232665793788041e-01 2.831170000000000119e-06
6.070000000000000000e+02 9.027585244096247852e-01 2.743219999999999970e-06
6.100000000000000000e+02 8.282564044029180339e-01 3.745320000000000082e-06
6.130000000000000000e+02 9.588067802763244885e-01 2.111350000000000122e-06
6.160000000000000000e+02 9.520057581272363123e-01 2.248149999999999812e-06
6.190000000000000000e+02 9.005004066727341216e-01 2.752740000000000177e-06
6.220000000000000000e+02 8.226782969338517493e-01 3.859950000000000203e-06
6.250000000000000000e+02 9.311696976949737081e-01 2.546780000000000204e-06
6.280000000000000000e+02 8.632149816819392196e-01 3.410269999999999792e-06
6.310000000000000000e+02 9.133869878904382622e-01 2.808559999999999839e-06
6.340000000000000000e+02 9.901692620719010351e-01 5.400099999999999763e-07
6.370000000000000000e+02 9.200047148992360757e-01 2.716280000000000021e-06
6.400000000000000000e+02 9.137524288091067870e-01 2.765210000000000076e-06
6.430000000000000000e+02 8.835214966845712503e-01 3.097729999999999986e-06
6.460000000000000000e+02 9.123856240655983108e-01 2.842379999999999966e-06
6.490000000000000000e+02 9.210603055543127304e-01 2.704410000000000167e-06
6.510000000000000000e+02 9.043620033644537148e-01 2.881039999999999863e-06
6.540000000000000000e+02 9.844530431720028840e-01 6.461190000000000432e-07
6.570000000000000000e+02 9.690020572414566047e-01 2.180390000000000058e-06
6.600000000000000000e+02 9.025946085163822907e-01 2.865510000000000200e-06
6.630000000000000000e+02 9.439625137114745490e-01 2.380269999999999913e-06
6.660000000000000000e+02 8.371482463574000388e-01 3.717969999999999827e-06
6.690000000000000000e+02 8.996240173576421917e-01 2.832660000000000167e-06
6.720000000000000000e+02 9.180787007195401195e-01 2.615409999999999833e-06
6.750000000000000000e+02 9.916516919895803639e-01 1.758100000000000106e-07
6.780000000000000000e+02 9.655820302450477399e-01 3.094569999999999896e-07
6.810000000000000000e+02 9.313331654893640676e-01 1.981019999999999881e-06
6.840000000000000000e+02 8.928684958746275768e-01 2.683609999999999875e-06
6.870000000000000000e+02 8.936861127862620879e-01 2.605420000000000205e-06
6.900000000000000000e+02 8.462250461992729678e-01 3.175660000000000102e-06
6.930000000000000000e+02 8.940009656397549520e-01 2.403819999999999882e-06
6.960000000000000000e+02 9.340729081631868880e-01 1.683439999999999886e-07
6.990000000000000000e+02 1.294017848432249984e+00 1.806160000000000140e-08
7.020000000000000000e+02 8.850886959810018162e-01 3.936570000000000157e-07
7.050000000000000000e+02 8.601508428919960592e-01 1.104090000000000088e-06
7.080000000000000000e+02 8.513755306500018216e-01 7.666310000000000043e-07
7.110000000000000000e+02 8.548462349406173999e-01 2.438319999999999827e-07
7.140000000000000000e+02 8.344693811839398734e-01 4.023739999999999739e-07
7.170000000000000000e+02 8.580607048982271667e-01 1.292640000000000119e-07
7.200000000000000000e+02 3.654243806798059602e+00 2.884989999999999981e-09
7.230000000000000000e+02 1.730861526201071809e+00 6.856220000000000132e-09
7.260000000000000000e+02 8.888980151579167766e-01 6.799910000000000437e-08
7.290000000000000000e+02 8.262508166925992548e-01 9.674789999999999509e-08
7.320000000000000000e+02 8.538312594937582656e-01 6.919250000000000234e-08
7.350000000000000000e+02 7.296736137499419961e-01 3.315679999999999949e-07
7.380000000000000000e+02 7.024894347717443033e-01 9.322840000000000385e-07
7.410000000000000000e+02 6.836214426335941452e-01 5.840509999999999668e-07
7.440000000000000000e+02 7.188293212080911765e-01 1.196959999999999887e-07
7.470000000000000000e+02 7.330055927146292838e-01 1.298289999999999908e-07
7.500000000000000000e+02 6.253633635020785508e-01 1.045710000000000064e-06
7.530000000000000000e+02 6.070264037960688697e-01 2.501059999999999818e-06
7.560000000000000000e+02 5.963430238150156937e-01 2.020589999999999911e-06
7.590000000000000000e+02 5.724633401034689983e-01 1.806510000000000048e-06
7.620000000000000000e+02 5.597294337400569031e-01 3.398210000000000199e-06
7.650000000000000000e+02 5.478938250395839482e-01 3.214630000000000086e-06
7.680000000000000000e+02 5.232040813089087194e-01 4.699760000000000045e-06
7.710000000000000000e+02 5.205065782423596854e-01 2.343780000000000199e-06
7.740000000000000000e+02 5.199078609282417052e-01 3.442400000000000173e-07
7.770000000000000000e+02 5.031624271851127261e-01 3.795159999999999951e-07
7.800000000000000000e+02 4.785684863940599665e-01 1.500049999999999936e-06
7.830000000000000000e+02 4.644753576415101004e-01 2.473380000000000195e-06
