# WAVE RELTPT CHARGE
6.300000000000000000e+02 5.045336868370395647e-03 2.399909999999999948e-06
6.330000000000000000e+02 8.039760559624912345e-03 1.710970000000000027e-06
6.360000000000000000e+02 8.086276543406177575e-03 1.726420000000000023e-06
6.390000000000000000e+02 3.886789559013308169e-03 3.229919999999999901e-06
6.420000000000000000e+02 4.160267482522453028e-03 3.216849999999999956e-06
6.450000000000000000e+02 6.023054243138713064e-03 2.058589999999999801e-06
6.480000000000000000e+02 5.485325230752530895e-03 3.080240000000000006e-06
6.510000000000000000e+02 5.578158386623000703e-03 2.300239999999999850e-06
6.540000000000000000e+02 3.525199969863761218e-02 4.514490000000000080e-07
6.570000000000000000e+02 8.246685510171963829e-03 1.580510000000000009e-06
6.600000000000000000e+02 5.681874342414263562e-03 2.291180000000000059e-06
6.630000000000000000e+02 5.510649383227824750e-03 2.054849999999999901e-06
6.660000000000000000e+02 6.158212478607902156e-03 2.597139999999999922e-06
6.690000000000000000e+02 7.347862413090428327e-03 1.907580000000000039e-06
6.720000000000000000e+02 6.349593252281231226e-03 2.065170000000000168e-06
6.750000000000000000e+02 1.537694073695423658e-01 9.037650000000000198e-08
6.780000000000000000e+02 9.045827238459680508e-02 1.666639999999999894e-07
6.810000000000000000e+02 9.883763660880994298e-03 1.358480000000000078e-06
6.840000000000000000e+02 1.197432431915011926e-02 1.565660000000000058e-06
6.870000000000000000e+02 1.530565365734366801e-02 1.492579999999999989e-06
6.900000000000000000e+02 2.563335125380168666e-02 1.722340000000000056e-06
6.930000000000000000e+02 4.226806584019730806e-02 1.135799999999999993e-06
6.960000000000000000e+02 2.700968163326437632e-01 6.451259999999999496e-08
6.990000000000000000e+02 3.460037300735116617e+00 4.161180000000000307e-09
7.020000000000000000e+02 3.049454885887014632e-01 1.335649999999999920e-07
7.050000000000000000e+02 3.728543843690844128e-01 2.777199999999999749e-07
7.080000000000000000e+02 5.148558055055054705e-01 1.934830000000000127e-07
7.110000000000000000e+02 7.535722464542300436e-01 7.763069999999999911e-08
7.140000000000000000e+02 7.663686196257660788e-01 1.378760000000000099e-07
7.170000000000000000e+02 1.035619452221890224e+00 4.412110000000000060e-08
7.200000000000000000e+02 3.491616697494647781e+01 4.653770000000000257e-10
7.230000000000000000e+02 1.379675641384992169e+01 1.158790000000000090e-09
7.260000000000000000e+02 1.420101342926804122e+00 2.433059999999999951e-08
7.290000000000000000e+02 1.289020423175240238e+00 3.617730000000000327e-08
7.320000000000000000e+02 1.457373264953623293e+00 2.799099999999999898e-08
7.350000000000000000e+02 1.000000000000000000e+00 1.687209999999999926e-07
7.380000000000000000e+02 9.273056780332162852e-01 5.228459999999999955e-07
