# wavelength throughput charge
5.313767579837348194e+02 8.439572554763442869e-03 2.584850000000000015e-07
5.353715370530125028e+02 1.364925158199764565e-02 1.497619999999999880e-07
5.393660987258301702e+02 8.560311593452068005e-03 2.494689999999999954e-07
5.433604468866906245e+02 9.859790424253375707e-03 2.346790000000000065e-07
5.473545854200962140e+02 1.053195449253768734e-02 2.153460000000000014e-07
5.513485182105499689e+02 1.539895431925120649e-02 1.716639999999999945e-07
5.553422491425545786e+02 3.037244223831964823e-02 1.825540000000000080e-07
5.593357821006122776e+02 1.012911552301222068e-01 1.982890000000000096e-07
5.633291209692263237e+02 2.433135108389733736e-01 1.739820000000000024e-07
5.673222696328989514e+02 4.066504286630879816e-01 1.992890000000000053e-07
5.713152319761333047e+02 5.379242866889478725e-01 2.099259999999999966e-07
5.753080118834315044e+02 6.360186296899807967e-01 1.966720000000000024e-07
5.793006132392965810e+02 7.158150158320168988e-01 1.090809999999999959e-07
5.832930399282312237e+02 7.436616996280355218e-01 1.754399999999999881e-07
5.872852958347380081e+02 7.619567407624534550e-01 2.425909999999999784e-07
5.912773848433196235e+02 7.783461573801848665e-01 2.138750000000000010e-07
5.952693108384787593e+02 7.918951895699015697e-01 1.694840000000000107e-07
5.992610777047182182e+02 7.922444859170141296e-01 1.616390000000000090e-07
6.032526893265403487e+02 7.981767145018187071e-01 1.762189999999999979e-07
6.072441495884481810e+02 7.871579583348825571e-01 1.901529999999999955e-07
6.112354623749442908e+02 7.847928110623979547e-01 1.745829999999999957e-07
6.152266315705314810e+02 7.800588489379436385e-01 1.439509999999999898e-07
6.192176610597122135e+02 7.717859408038135749e-01 1.717299999999999899e-07
6.232085547269891777e+02 7.635934097689953681e-01 1.427510000000000055e-07
6.271993164568650627e+02 7.496159307612999534e-01 1.938869999999999944e-07
6.311899501338427854e+02 7.389553712620551273e-01 2.048480000000000089e-07
6.351804596424248075e+02 7.288967027687343059e-01 1.391009999999999960e-07
6.391708488671138184e+02 7.170716573147106754e-01 1.635230000000000012e-07
6.431611216924127348e+02 7.018522937260168737e-01 2.027829999999999967e-07
6.471512820028237911e+02 6.933207306299516981e-01 1.591810000000000011e-07
6.511413336828499041e+02 6.826097025955373265e-01 1.409709999999999989e-07
6.551312806169939904e+02 6.615026076541314914e-01 1.442710000000000085e-07
6.591211266897583982e+02 6.501087837409664782e-01 1.418920000000000109e-07
6.631108757856460443e+02 6.388881276671029008e-01 1.463440000000000034e-07
6.671005317891592767e+02 6.198702938348252811e-01 1.545150000000000042e-07
6.710900985848011260e+02 6.090294327460930024e-01 1.368490000000000100e-07
6.750795800570742813e+02 5.999161489191522367e-01 1.005719999999999956e-07
6.790689800904810909e+02 6.008756992706638655e-01 5.252130000000000060e-08
6.830583025695244714e+02 5.566917492078018448e-01 1.341200000000000125e-07
6.870475513787071122e+02 5.465324003740514858e-01 9.837030000000000306e-08
6.910367304025315889e+02 5.317720298412955682e-01 7.011790000000000082e-08
6.950258435255007043e+02 5.265934342907550025e-01 5.464570000000000207e-08
6.990148946321170342e+02 2.227374062815090650e+00 1.090669999999999916e-09
7.030038876068832678e+02 5.150492817210300389e-01 3.711449999999999793e-08
7.069928263343022081e+02 5.314372897498069737e-01 2.523530000000000032e-08
7.109817146988763170e+02 6.520698303663483575e-01 1.023060000000000063e-08
7.149705565851086249e+02 5.205637002657971246e-01 2.141349999999999848e-08
7.189593558775014799e+02 2.844060611736056288e+00 9.841770000000000850e-10
7.229481164605576851e+02 -2.676998720200439497e+00 1.861539999999999964e-09
7.269368422187798160e+02 9.874767312532917174e-01 3.837219999999999701e-09
7.309255370366709030e+02 8.209368580646407842e-01 5.248029999999999712e-09
7.349142047987331807e+02 5.144253703468979477e-01 1.448510000000000078e-08
7.389028493894695657e+02 3.287298789230609364e-01 7.926149999999999807e-08
7.428914746933827473e+02 3.635821255222052573e-01 3.320999999999999761e-08
7.468800845949753011e+02 5.357846202818015158e-01 9.645019999999999435e-09
