#Wavelength	CBP Cal in W/A
370	0.0490
380	0.0642
390	0.0685
400	0.1158
401	0.1169
402	0.1125
403	0.1120
404	0.1109
405	0.1104
406	0.1097
407	0.1092
408	0.1085
409	0.1082
410	0.1076
411	0.1073
412	0.1069
413	0.1064
414	0.1062
415	0.1058
416	0.1054
417	0.1049
418	0.1045
419	0.1042
420	0.1036
421	0.1031
422	0.1030
423	0.1026
424	0.1024
425	0.1021
426	0.1019
427	0.1016
428	0.1012
429	0.1008
430	0.1005
431	0.1004
432	0.1000
433	0.0998
434	0.0995
435	0.0992
436	0.0988
437	0.0986
438	0.0985
439	0.0983
440	0.0979
441	0.0977
442	0.0975
443	0.0972
444	0.0970
445	0.0968
446	0.0966
447	0.0965
448	0.0963
449	0.0961
450	0.0958
451	0.0956
452	0.0954
453	0.0951
454	0.0948
455	0.0948
456	0.0946
457	0.0944
458	0.0943
459	0.0940
460	0.0939
461	0.0937
462	0.0936
463	0.0932
464	0.0930
465	0.0930
466	0.0926
467	0.0927
468	0.0923
469	0.0924
470	0.0920
471	0.0921
472	0.0916
473	0.0915
474	0.0913
475	0.0913
476	0.0909
477	0.0909
478	0.0905
479	0.0907
480	0.0902
481	0.0905
482	0.0900
483	0.0901
484	0.0897
485	0.0897
486	0.0896
487	0.0892
488	0.0894
489	0.0888
490	0.0889
491	0.0886
492	0.0883
493	0.0885
494	0.0879
495	0.0879
496	0.0880
497	0.0875
498	0.0877
499	0.0875
500	0.0870
501	0.0873
502	0.0869
503	0.0864
504	0.0867
505	0.0865
506	0.0858
507	0.0862
508	0.0861
509	0.0855
510	0.0857
511	0.0858
512	0.0851
513	0.0849
514	0.0853
515	0.0850
516	0.0843
517	0.0842
518	0.0845
519	0.0842
520	0.0834
521	0.0837
522	0.0841
523	0.0836
524	0.0830
525	0.0829
526	0.0832
527	0.0833
528	0.0828
529	0.0823
530	0.0822
531	0.0825
532	0.0827
533	0.0820
534	0.0814
535	0.0813
536	0.0814
537	0.0817
538	0.0816
539	0.0811
540	0.0806
541	0.0804
542	0.0805
543	0.0807
544	0.0807
545	0.0805
546	0.0801
547	0.0795
548	0.0792
549	0.0791
550	0.0792
551	0.0794
552	0.0793
553	0.0792
554	0.0790
555	0.0787
556	0.0783
557	0.0780
558	0.0777
559	0.0775
560	0.0775
561	0.0774
562	0.0774
563	0.0774
564	0.0773
565	0.0773
566	0.0771
567	0.0770
568	0.0767
