# Wavelength	Telescope/TS04
350	0.49913
351	0.50199
352	0.56656
353	0.61787
354	0.53170
355	0.38620
356	0.48979
357	0.53047
358	0.38175
359	0.51692
360	0.39308
361	0.55346
362	0.35870
363	0.51990
364	0.39232
365	0.30898
366	0.43846
367	0.38071
368	0.29307
369	0.35807
370	0.42592
371	0.39547
372	0.35996
373	0.34988
374	0.36281
375	0.34543
376	0.36926
377	0.37729
378	0.39356
379	0.39971
380	0.38788
381	0.36715
382	0.37923
383	0.40979
384	0.39214
385	0.38371
386	0.40681
387	0.40882
388	0.40542
389	0.43496
390	0.41427
391	0.45875
392	0.43265
393	0.47085
394	0.45262
395	0.45817
396	0.47685
397	0.46952
398	0.49671
399	0.46103
400	0.49444
401	0.48901
402	0.50264
403	0.50758
404	0.51062
405	0.51694
406	0.52053
407	0.52632
408	0.53042
409	0.53389
410	0.53754
411	0.54051
412	0.54399
413	0.54693
414	0.54957
415	0.55257
416	0.55524
417	0.55801
418	0.56067
419	0.56297
420	0.56581
421	0.56837
422	0.57043
423	0.57298
424	0.57468
425	0.57635
426	0.57781
427	0.57968
428	0.58129
429	0.58323
430	0.58488
431	0.58596
432	0.58755
433	0.58867
434	0.59012
435	0.59132
436	0.59264
437	0.59356
438	0.59468
439	0.59553
440	0.59679
441	0.59781
442	0.59881
443	0.59982
444	0.60108
445	0.60182
446	0.60249
447	0.60357
448	0.60465
449	0.60553
450	0.60634
451	0.60711
452	0.60774
453	0.60883
454	0.60958
455	0.61003
456	0.61091
457	0.61159
458	0.61179
459	0.61327
460	0.61307
461	0.61401
462	0.61432
463	0.61510
464	0.61612
465	0.61541
466	0.61727
467	0.61634
468	0.61809
469	0.61724
470	0.61883
471	0.61797
472	0.61947
473	0.61898
474	0.62028
475	0.61982
476	0.62095
477	0.62041
478	0.62201
479	0.62031
480	0.62277
481	0.62047
482	0.62310
483	0.62196
484	0.62338
485	0.62269
486	0.62276
487	0.62448
488	0.62230
489	0.62526
490	0.62285
491	0.62449
492	0.62570
493	0.62320
494	0.62592
495	0.62508
496	0.62420
497	0.62713
498	0.62414
499	0.62534
500	0.62746
501	0.62437
502	0.62630
503	0.62833
504	0.62496
505	0.62560
506	0.62908
507	0.62538
508	0.62542
509	0.62921
510	0.62652
511	0.62483
512	0.62882
513	0.62957
514	0.62561
515	0.62629
516	0.63015
517	0.62958
518	0.62617
519	0.62620
520	0.63060
521	0.62896
522	0.62562
523	0.62765
524	0.63122
525	0.63149
526	0.62828
527	0.62609
528	0.62857
529	0.63214
530	0.63146
531	0.62825
532	0.62587
533	0.62857
534	0.63242
535	0.63285
536	0.63056
537	0.62736
538	0.62730
539	0.62972
540	0.63288
541	0.63410
542	0.63236
543	0.62981
544	0.62798
545	0.62882
546	0.63014
547	0.63310
548	0.63494
549	0.63501
550	0.63303
551	0.63055
552	0.63021
553	0.62977
554	0.63090
555	0.63245
556	0.63453
557	0.63599
558	0.63725
559	0.63763
560	0.63686
561	0.63614
562	0.63576
563	0.63419
564	0.63390
565	0.63273
566	0.63356
567	0.63344
568	0.63468
569	0.63485
570	0.63561
571	0.63638
572	0.63747
573	0.63842
574	0.63906
575	0.63974
576	0.63940
577	0.63960
578	0.64071
579	0.64145
580	0.64188
581	0.64156
582	0.64300
583	0.64288
584	0.64326
585	0.64328
586	0.64301
587	0.64285
588	0.64307
589	0.64279
590	0.64322
591	0.64261
592	0.64286
593	0.64263
594	0.64365
595	0.64487
596	0.64565
597	0.64650
598	0.64753
599	0.64841
600	0.64965
601	0.65033
602	0.65072
603	0.65149
604	0.65100
605	0.65013
606	0.65033
607	0.65007
608	0.65003
609	0.65055
610	0.65203
611	0.65322
612	0.65427
613	0.65502
614	0.65496
615	0.65486
616	0.65417
617	0.65452
618	0.65463
619	0.65575
620	0.65639
621	0.65821
622	0.65935
623	0.65833
624	0.65802
625	0.65787
626	0.65829
627	0.65990
628	0.66103
629	0.66133
630	0.66171
631	0.66107
632	0.66157
633	0.66233
634	0.66314
635	0.66371
636	0.66396
637	0.66352
638	0.66329
639	0.66428
640	0.66526
641	0.66591
642	0.66595
643	0.66562
644	0.66606
645	0.66694
646	0.66789
647	0.66692
648	0.66777
649	0.66834
650	0.66875
651	0.66934
652	0.66986
653	0.67073
654	0.67089
655	0.67190
656	0.67204
657	0.67189
658	0.67085
659	0.67202
660	0.67262
661	0.67368
662	0.67399
663	0.67378
664	0.67294
665	0.67379
666	0.67421
667	0.67324
668	0.67392
669	0.67607
670	0.67627
671	0.67515
672	0.67582
673	0.67533
674	0.67498
675	0.67600
676	0.67884
677	0.67545
678	0.67583
679	0.67656
680	0.67623
681	0.67602
682	0.67368
683	0.67939
684	0.67614
685	0.67807
686	0.67539
687	0.67478
688	0.67723
689	0.67685
690	0.67715
691	0.67899
692	0.67848
693	0.67725
694	0.67736
695	0.67638
696	0.67621
697	0.67509
698	0.67710
699	0.67122
700	0.67941
701	0.68143
702	0.67263
703	0.67519
704	0.67594
705	0.66457
706	0.67224
707	0.68314
708	0.67588
709	0.67798
710	0.68521
711	0.66526
712	0.67398
713	0.68731
714	0.66186
715	0.67542
716	0.67083
717	0.67727
718	0.67468
719	0.67976
720	0.70519
721	0.68504
722	0.73940
723	0.66341
724	0.66724
725	0.68158
726	0.66725
727	0.67529
728	0.67088
729	0.67429
730	0.66699
731	0.66860
732	0.66445
733	0.66956
734	0.66411
735	0.66540
736	0.66319
737	0.66819
738	0.66328
739	0.66079
740	0.66453
741	0.66197
742	0.66547
743	0.66776
744	0.65215
745	0.67590
746	0.66009
747	0.65567
748	0.66819
749	0.65477
750	0.65620
751	0.65656
752	0.64858
753	0.66046
754	0.65203
755	0.65534
756	0.65374
757	0.64823
758	0.65907
759	0.64176
760	0.65413
761	0.64015
762	0.64898
763	0.64755
764	0.64265
765	0.65279
766	0.63605
767	0.64730
768	0.63450
769	0.64700
770	0.63558
771	0.63641
772	0.64366
773	0.63049
774	0.64785
775	0.63034
776	0.64003
777	0.63242
778	0.62687
779	0.64219
780	0.61920
781	0.64448
782	0.61689
783	0.63796
784	0.61827
785	0.63120
786	0.62227
787	0.62536
788	0.62773
789	0.61274
790	0.63214
791	0.60738
792	0.63231
793	0.60395
794	0.63193
795	0.60154
796	0.63060
797	0.59953
798	0.63258
799	0.59544
800	0.62288
801	0.60275
802	0.63342
803	0.65435
804	0.61799
805	0.59722
806	0.62589
807	0.61208
808	0.59579
809	0.61770
810	0.58514
811	0.61352
812	0.58097
813	0.61584
814	0.58085
815	0.61331
816	0.57660
817	0.61226
818	0.57306
819	0.60705
820	0.57178
821	0.60435
822	0.57324
823	0.60257
824	0.57197
825	0.59797
826	0.57371
827	0.58595
828	0.58168
829	0.57579
830	0.58753
831	0.56496
832	0.59246
833	0.55712
834	0.59815
835	0.54866
836	0.59535
837	0.54625
838	0.59397
839	0.54760
840	0.58377
841	0.54346
842	0.58594
843	0.53555
844	0.58957
845	0.52948
846	0.59502
847	0.52209
848	0.59465
849	0.52179
850	0.58320
851	0.52789
852	0.56984
853	0.54415
854	0.54494
855	0.56508
856	0.52250
857	0.58175
858	0.50749
859	0.58490
860	0.50520
861	0.57425
862	0.52008
863	0.53874
864	0.55576
865	0.51020
866	0.58001
867	0.49183
868	0.57831
869	0.49728
870	0.56190
871	0.51789
872	0.53643
873	0.54019
874	0.51123
875	0.56005
876	0.49167
877	0.56887
878	0.47378
879	0.56782
880	0.47806
881	0.54713
882	0.51037
883	0.49965
884	0.55606
885	0.46494
886	0.56205
887	0.47892
888	0.52129
